event_all,year
"Thousands of enslaved African Americans in the South escape to British lines, as they were promised freedom to fight with the British. In South Carolina, 25,000 enslaved African Americans, one-quarter of those held, escape to the British or otherwise leave their plantations.[17] After the war, many African Americans are evacuated with the British for England; more than 3,000 Black Loyalists are transported with other Loyalists to Nova Scotia and New Brunswick, where they are granted land. Still others go to Jamaica and the West Indies. An estimated 8–10,000 were evacuated from the colonies in these years as free people, about 50 percent of those slaves who defected to the British and about 80 percent of those who survived.[18]",1775
Many free blacks in the North fight with the colonists for the rebellion.,1775
"July 8 – The Vermont Republic (a sovereign nation at the time) abolishes slavery, the first future state to do so. No slaves were held in Vermont.",1777
Pennsylvania becomes the first U.S. state to abolish slavery.,1780
"Capt. Paul Cuffe and six other African American residents of Massachusetts successfully petition the state legislature for the right to vote, claiming ""no taxation without representation.""[10]",1780
"In challenges by Elizabeth Freeman and Quock Walker, two independent county courts in Massachusetts found slavery illegal under state constitution and declared each to be free persons.",1781
"Massachusetts Supreme Judicial Court affirmed that Massachusetts state constitution had abolished slavery. It ruled that ""the granting of rights and privileges [was] wholly incompatible and repugnant to"" slavery, in an appeal case arising from the escape of former slave Quock Walker. When the British left New York and Charleston in 1783, they took the last of 5500 Loyalists to the Caribbean, along with some 15,000 slaves.[19]",1783
July 13 – The Northwest Ordinance bans the expansion of slavery into U.S. territories north of the Ohio River and east of the Mississippi River.,1787
"The First African Baptist Church of Savannah, Georgia is organized under Andrew Bryan.",1788
1790–1810 Manumission of slaves,1788
"Following the Revolution, numerous slaveholders in the Upper South free their slaves; the percentage of free blacks rises from less than one to 10 percent. By 1810, 75 percent of all blacks in Delaware are free, and 7.2 percent of blacks in Virginia are free.[20]",1788
"February –  Major Andrew Ellicott hires Benjamin Banneker, an African-American draftsman, to assist in a survey of the boundaries of the 100-square-mile (260 km2) federal district that would later become the District of Columbia.",1791
February 12 – The Fugitive Slave Act of 1793 is passed. (See also Fugitive slave laws.),1793
"March 14 – Eli Whitney is granted a patent on the cotton gin. This enables the cultivation and processing of short-staple cotton to be profitable in the uplands and interior areas of the Deep South; as this cotton can be cultivated in a wide area, the change dramatically increases the need for enslaved labor and leads to the development of King Cotton as the chief commodity crop. To satisfy labor demand, there is a forced migration of one million slaves from the Upper South and coast to the area in the antebellum period, mostly by the domestic slave trade.",1794
"July – Two independent black churches open in Philadelphia: the African Episcopal Church of St. Thomas, with Absalom Jones, and the Bethel African Methodist Episcopal Church, with Richard Allen, the latter the first church of what would become in 1816 the first independent black denomination in the United States.",1794
Early 19th century,1794
The first Black Codes enacted.,1794
"August 30 – Gabriel Prosser's planned attempt to lead a slave rebellion in Richmond, Virginia is suppressed.",1800
"At the urging of President Thomas Jefferson, Congress passes the Act Prohibiting Importation of Slaves. It makes it a federal crime to import a slave from abroad.",1807
January 1 – The importation of slaves is a felony. This is the earliest day under the United States Constitution that a law could be made restricting slavery.,1808
"The first separate black denomination of the African Methodist Episcopal Church (AME) is founded by Richard Allen, who is elected its first bishop.",1816
"The American Colonization Society is begun by Robert Finley, to send free African Americans to what is to become Liberia in West Africa.[21]",1816
March 6 – The Missouri Compromise allows for the entry as states of Maine (free) and Missouri (slave); no more slave states are allowed north of 36°30′.,1820
"The British West Africa Squadron's slave trade suppression activities are assisted by forces from the United States Navy, starting in 1820 with the USS Cyane. With the Webster–Ashburton Treaty of 1842, the relationship is formalised and they jointly run the Africa Squadron.",1820
The African Methodist Episcopal Zion Church is formed.,1821
"July 14 – Denmark Vesey's planned slave rebellion in Charleston, South Carolina is suppressed (known also as ""The Vesey Conspiracy"").",1822
"March 16 - Freedom's Journal, the first African American newspaper in the U.S., begins publication.",1827
September – David Walker begins publication of the abolitionist pamphlet Walker's Appeal.,1829
"October 28 – Josiah Henson, a slave who fled and arrived in Canada, is an author, abolitionist, minister and the inspiration behind the book Uncle Tom's Cabin.[22]",1830
"William Lloyd Garrison begins publication of the abolitionist newspaper The Liberator. He declares ownership of a slave is a great sin, and must stop immediately.",1831
"August – Nat Turner leads the most successful slave rebellion in U.S. history. The rebellion is suppressed, but only after many deaths.",1831
"Sarah Harris Fayerweather, an aspiring teacher, is admitted to Prudence Crandall's all-girl school in Canterbury, Connecticut, resulting in the first racially integrated schoolhouse in the United States.[23] Her admission led to the school's forcible closure under the Connecticut Black Law of 1833.[24]",1832
"The American Anti-Slavery Society, an abolitionist society, is founded by William Lloyd Garrison and Arthur Tappan. Frederick Douglass becomes a key leader of the society.",1833
February – The first Institute of Higher Education for African Americans is founded. Founded as the African Institute in February 1837 and renamed the Institute of Coloured Youth (ICY) in April 1837 and now known as Cheyney University of Pennsylvania.,1837
"July 2 – Slaves revolt on the La Amistad, an illegal slave ship, resulting in a hearing before the U.S. Supreme Court (see United States v. The Amistad) and their gaining freedom.",1839
The Liberty Party breaks away from the American Anti-Slavery Society due to grievances with William Lloyd Garrison's leadership.,1840
"The U.S. Supreme Court rules, in Prigg v. Pennsylvania (1842), that states do not have to offer aid in the hunting or recapture of slaves, greatly weakening the fugitive slave law of 1793.",1842
"June 1 – Isabella Baumfree, a former slave, changes her name to Sojourner Truth and begins to preach for the abolition of slavery.",1843
August – Henry Highland Garnet delivers his famous speech Call to Rebellion.,1843
"Publication of Narrative of the Life of Frederick Douglass, An American Slave, Written by Himself",1845
Frederick Douglass begins publication of the abolitionist newspaper the North Star.,1847
Joseph Jenkins Roberts of Virginia becomes the first president of Liberia.,1847
Roberts v. Boston seeks to end racial discrimination in Boston public schools.,1849
"Harriet Tubman escapes from slavery to Philadelphia, and begins helping other slaves to escape via the Underground Railroad.",1849
"September 18 – As part of the Compromise of 1850, Congress passes the Fugitive Slave Act of 1850 which requires any federal official to arrest anyone suspected of being a runaway slave.",1850
"Soujourner Truth gives her ""Ain't I a Woman"" speech at a women's rights convention in Akron, Ohio",1851
March 20 – Uncle Tom's Cabin by Harriet Beecher Stowe is published.,1852
"December – Clotel; or, The President's Daughter is the first novel published by an African-American.",1853
"President Franklin Pierce signs the Kansas–Nebraska Act, which repealed the Missouri Compromise and allowed slaves to be brought to the new territories.",1854
"In opposition to the Kansas–Nebraska Act, the Republican Party is formed with an anti-slavery platform.",1854
John Mercer Langston is one of the first African Americans elected to public office when elected as a town clerk in Ohio.,1855
May 21 – The Sacking of Lawrence in Bleeding Kansas.,1856
"May 25 – John Brown, whom Abraham Lincoln called a ""misguided fanatic"", retaliates for Lawrence's sacking in the Pottawatomie massacre.",1856
Wilberforce University is founded by collaboration between Methodist Episcopal and African Methodist Episcopal representatives.,1856
"March 6 – In Dred Scott v. Sandford, the U.S. Supreme Court upholds slavery. This decision is regarded as a key cause of the American Civil War.",1857
Harriet E. Wilson writes the autobiographical novel Our Nig.,1859
In Ableman v. Booth the U.S. Supreme Court rules that state courts cannot issue rulings that contradict the decisions of federal courts; this decision uphold the Fugitive Slave Act of 1850.,1859
"August 22 - The last known slave ship to arrive to the U.S., the Clotilde, docks in secrecy at Mobile, Alabama.[10]",1859
"April 12 – The American Civil War begins (secessions began in December 1860), and lasts until April 9, 1865. Tens of thousands of enslaved African Americans of all ages escaped to Union lines for freedom. Contraband camps were set up in some areas, where blacks started learning to read and write. Others traveled with the Union Army. By the end of the war, more than 180,000 African Americans, mostly from the South, fought with the Union Army and Navy as members of the US Colored Troops and sailors.",1861
May 2 – The first North American military unit with African-American officers is the 1st Louisiana Native Guard of the Confederate Army (disbanded in February 1862).,1861
"May 24 – General Benjamin Butler refuses to extradite three escaped slaves, declaring them contraband of war",1861
"August 6 – The Confiscation Act of 1861 authorizes the confiscation of any Confederate property, including all slaves who fought or worked for the Confederate military.",1861
August 30 – Frémont Emancipation in Missouri,1861
September 11 – Lincoln orders Frémont to rescind the edict.,1861
March 13 – Act Prohibiting the Return of Slaves,1862
April 16 – (Emancipation Day) – District of Columbia Compensated Emancipation Act,1862
"May 9 – General David Hunter declares emancipation in Georgia, Florida and South Carolina.",1862
May 19 – Lincoln rescinds Hunter's order.,1862
July 17 – Confiscation Act of 1862 frees confiscated slaves.,1862
"September 22 – Lincoln announces the Emancipation Proclamation to go into effect January 1, 1863.",1862
1863–1877,1862
"January 1 – The Emancipation Proclamation goes into effect, changing the legal status, as recognized by the United States federal government, of 3 million slaves in the designated areas of the South from ""slave"" to ""free.""",1863
"January 31 – U.S. Army commissions the 1st South Carolina Volunteers, a combat unit made up of escaped slaves.",1863
May 22 – The U.S. Army recruits United States Colored Troops. (The 54th Massachusetts Volunteer Regiment would be featured in the 1989 film Glory.),1863
June 1 – Harriet Tubman the 2nd South Carolina Volunteers liberate 750 people with the Raid at Combahee Ferry.,1863
"July 13–16 – Ethnic Irish immigrants protests against the draft in New York City turn into riots against blacks, the New York Draft Riots.",1863
"July 18 – The Second Battle of Fort Wagner begins when the 54th Regiment Massachusetts Volunteer Infantry, an African-American military unit, led by white Colonel Robert Gould Shaw, attacked a Confederate fort at Morris Island, South Carolina. The attack on Fort Wagner by the 54th Regiment Massachusetts Volunteer Infantry failed to take the fort and Gould was killed in the battle. However, the fort was abandoned by the Confederates on September 7, 1863, after many could not stand the constant weeks of bombardment and the smell of dead Union black soldiers sickening them.",1863
"April 12 – The Battle of Fort Pillow, which results in controversy about whether a massacre of surrendered African-American troops was conducted or condoned.",1864
October 13 – Controversial election results in approval of Maryland Constitution of 1864; emancipation in Maryland.,1864
"January 16 – Sherman's Special Field Orders, No. 15 allocate a tract of land in coastal South Carolina and Georgia for Black-only settlement.",1865
"January 31 – The United States Congress passes the Thirteenth Amendment to the United States Constitution, abolishing slavery and submits it to the states for ratification.",1865
"March 3 – Congress passes the bill that forms the Freedman's Bureau; mandates distribution of ""not more than forty acres"" of confiscated land to all loyal freedmen and refugees.",1865
May 29 – Andrew Johnson amnesty proclamation initiates return of land to pre-war owners.,1865
December 18 – The Thirteenth Amendment to the United States Constitution prohibits slavery except as punishment for crime; emancipation in Delaware and Kentucky.,1865
"Shaw Institute is founded in Raleigh, North Carolina, as the first black college in the South.",1865
Atlanta College is founded.,1865
"Southern states pass Black Codes that restrict the freedmen, who were emancipated but not yet full citizens.",1865
April 9 – The Civil Rights Act of 1866 is passed by Congress over Johnson's presidential veto. All persons born in the United States are now citizens.,1866
"The Ku Klux Klan is formed in Pulaski, Tennessee, made up of white Confederate veterans; it becomes a paramilitary insurgent group to enforce white supremacy.",1866
May 1-3 – The Memphis Massacre transpires.,1866
July – New Orleans Riot: white citizens riot against blacks.,1866
"July 21 – Southern Homestead Act of 1866 opens 46 million acres of land in Alabama, Arkansas, Florida, Louisiana, and Mississippi; African Americans have priority access until January 1, 1877.",1866
September 21 – The U.S. Army regiment of Buffalo Soldiers (African Americans) is formed.,1866
One version of the Second Freedmen's Bureau Act is vetoed and fails; another is vetoed and passed via override in July.,1866
"February 14 – Augusta Institute, now known as Morehouse College, is founded in the basement of Springfield Baptist Church in Augusta, Georgia.[25]",1867
"March 2 – Howard University is founded in Washington, D.C.",1867
"April 1 – Hampton Institute is founded in Hampton, Virginia.",1868
July 9 – The Fourteenth Amendment to the United States Constitution's Section 1 requires due process and equal protection.,1868
"Through 1877, whites attack black and white Republicans to suppress voting. Every election cycle is accompanied by violence, increasing in the 1870s.",1868
"Elizabeth Keckly publishes Behind the Scenes (or, Thirty Years a Slave and Four Years in the White House).",1868
"February 3 – The Fifteenth Amendment to the United States Constitution guarantees the right of male citizens of the United States to vote regardless of race, color or previous condition of servitude.",1870
February 25 – Hiram Rhodes Revels becomes the first black member of the Senate (see African Americans in the United States Congress).,1870
Christian Methodist Episcopal Church founded.,1870
First two Enforcement Acts.,1870
"October 10 – Octavius Catto, a civil rights activist, is murdered during harassment of blacks on Election Day in Philadelphia.",1871
"US Civil Rights Act of 1871 passed, also known as the Klan Act and Third Enforcement Act.",1871
December 11 – P. B. S. Pinchback is sworn in as the first black member of the U.S. House of Representatives.,1872
Disputed gubernatorial election in Louisiana cause political violence for more than two years. Both Republican and Democratic governors hold inaugurations and certify local officials.,1872
"Elijah McCoy patented his first invention, an automatic lubricator that supplied oil to moving parts while a machine was still operating.[26]",1872
April 14 – In the Slaughter-House Cases the U.S. Supreme Court votes 5–4 for a narrow reading of the Fourteenth Amendment. The court also discusses dual citizenship: State citizens and U.S. citizens.,1873
Easter – The Colfax Massacre; more than 100 blacks in the Red River area of Louisiana are killed when attacked by white militia after defending Republicans in local office – continuing controversy from gubernatorial election.,1873
"The Coushatta Massacre transpires. Republican officeholders are run out of town and murdered by white militia before leaving the state – four of six were relatives of a Louisiana state senator, a northerner who had settled in the South, married into a local family and established a plantation. Five to twenty black witnesses are also killed.",1873
"Founding of paramilitary groups that act as the ""military arm of the Democratic Party"": the White League in Louisiana and the Red Shirts in Mississippi, and North and South Carolina. They terrorize blacks and Republicans, turning them out of office, killing some, disrupting rallies, and suppressing voting.",1874
"September – In New Orleans, continuing political violence erupts related to the still-contested gubernatorial election of 1872. Thousands of the White League armed militia march into New Orleans, then the seat of government, where they outnumber the integrated city police and black state militia forces. They defeat Republican forces and demand that Gov. Kellogg leave office. The Democratic candidate McEnery is installed and White Leaguers occupy the capitol, state house and arsenal. This was called the ""Battle of Liberty Place"". The White League and McEnery withdraw after three days in advance of federal troops arriving to reinforce the Republican state government.",1874
March 1 – Civil Rights Act of 1875 signed.,1875
The Mississippi Plan to intimidate blacks and suppress black voter registration and voting.,1875
Lewis Latimer prepared drawings for Alexander Graham Bell's application for a telephone patent.[27],1876
July 8 – The Hamburg Massacre occurs when local people riot against African Americans who were trying to celebrate the Fourth of July.,1876
varied – White Democrats regain power in many southern state legislatures and pass the first Jim Crow laws.,1876
"With the Compromise of 1877, Republican Rutherford B. Hayes withdraws federal troops from the South in exchange for being elected President of the United States, causing the collapse of the last three remaining Republican state governments. The compromise formally ends the Reconstruction Era.",1877
Spring – Thousands of African Americans refuse to live under segregation in the South and migrate to Kansas. They become known as Exodusters.,1879
"In Strauder v. West Virginia, the U.S. Supreme Court rules that African Americans could not be excluded from juries.",1880
"During the 1880s, African Americans in the South reach a peak of numbers in being elected and holding local offices, even while white Democrats are working to assert control at state level.[citation needed]",1880
April 11 – Spelman Seminary is founded as the Atlanta Baptist Female Seminary.,1881
"July 4 – Booker T. Washington opens the Tuskegee Normal and Industrial Institute in Tuskegee, Alabama.",1881
"Lewis Latimer invented the first long-lasting filament for light bulbs and installed his lighting system in New York City, Philadelphia, and Canada. Later, he became one of the 28 members of Thomas Edison's Pioneers.[27]",1882
"A biracial populist coalition achieves power in Virginia (briefly). The legislature founds the first public college for African Americans, Virginia Normal and Collegiate Institute, as well as the first mental hospital for African Americans, both near Petersburg, Virginia. The hospital was established in December 1869, at Howard's Grove Hospital, a former Confederate unit, but is moved to a new campus in 1882.",1882
"October 16 – In Civil Rights Cases, the U.S. Supreme Court strikes down the Civil Rights Act of 1875 as unconstitutional.",1883
"Mark Twain's Adventures of Huckleberry Finn is published, featuring the admirable African-American character Jim.",1884
"Judy W. Reed, of Washington, D.C., and Sarah E. Goode, of Chicago, are the first African-American women inventors to receive patents. Signed with an ""X"", Reed's patent no. 305,474, granted September 23, 1884, is for a dough kneader and roller. Goode's patent for a cabinet bed, patent no. 322,177, is issued on July 14, 1885. Goode, the owner of a Chicago furniture store, invented a folding bed that could be formed into a desk when not in use.",1884
"Ida B. Wells sues the Chesapeake, Ohio & South Western Railroad Company for its use of segregated ""Jim Crow"" cars.",1884
"Norris Wright Cuney becomes the chairman of the Texas Republican Party, the most powerful role held by any African American in the South during the 19th century.",1886
"October 3 – The State Normal School for Colored Students, which would become Florida A&M University, is founded.",1887
"Mississippi, with a white Democrat-dominated legislature, passes a new constitution that effectively disfranchises most blacks through voter registration and electoral requirements, e.g., poll taxes, residency tests and literacy tests. This shuts them out of the political process, including service on juries and in local offices.",1890
By 1900 two-thirds of the farmers in the bottomlands of the Mississippi Delta are African Americans who cleared and bought land after the Civil War.[28],1890
Ida B. Wells publishes her pamphlet Southern Horrors: Lynch Law in All Its Phases.,1892
"Daniel Hale Williams performed open-heart surgery in 1893 and founded Provident Hospital in Chicago, the first with an interracial staff.[29]",1893
"September 18 – Booker T. Washington delivers his Atlanta Compromise address at the Cotton States and International Exposition in Atlanta, Georgia.",1895
W. E. B. Du Bois becomes the first African-American to be earn a Ph.D from Harvard University.[30],1895
"May 18 – In Plessy v. Ferguson, the U.S. Supreme Court upholds de jure racial segregation of ""separate but equal"" facilities. (see ""Jim Crow laws"" for historical discussion).",1896
The National Association of Colored Women is formed by the merger of smaller groups.,1896
"As one of the earliest Black Hebrew Israelites in the United States, William Saunders Crowdy establishes the Church of God and Saints of Christ.",1896
George Washington Carver is invited by Booker T. Washington to head the Agricultural Department at what would become Tuskegee University. His work would revolutionize farming – he found about 300 uses for peanuts.,1896
Louisiana enacts the first statewide grandfather clause that provides exemption for illiterate whites to voter registration literacy test requirements.,1898
"In Williams v. Mississippi the U.S. Supreme Court upholds the voter registration and election provisions of Mississippi's constitution because they applied to all citizens. Effectively, however, they disenfranchise blacks and poor whites. The result is that other southern states copy these provisions in their new constitutions and amendments through 1908, disfranchising most African Americans and tens of thousands of poor whites until the 1960s.",1898
"November 10 – Coup d'état begins in Wilmington, North Carolina, resulting in considerable loss of life and property in the African-American community and the installation of a white supremacist Democratic Party regime.",1898
"September 18 – The ""Maple Leaf Rag"" is an early ragtime composition for piano by Scott Joplin.",1899
"Since the Civil War, 30,000 African-American teachers had been trained and put to work in the South. The majority of blacks had become literate.[31]",1900
Booker T. Washington's autobiography Up from Slavery is published.,1901
"Benjamin Tillman, senator from South Carolina, comments on Theodore Roosevelt's dining with Booker T. Washington: ""The action of President Roosevelt in entertaining that nigger will necessitate our killing a thousand niggers in the South before they learn their place again.""[32]",1901
September – W. E. B. Du Bois's article The Talented Tenth published.,1903
W. E. B. Du Bois's seminal work The Souls of Black Folk is published.,1903
"May 15 – Sigma Pi Phi, the first African-American Greek-letter organization, is founded by African-American men as a professional organization, in Philadelphia, Pennsylvania.",1904
"Orlando, Florida hires its first black postman.[citation needed]",1904
"July 11 – First meeting of the Niagara Movement, an interracial group to work for civil rights.[33]",1905
"The Brownsville Affair, which eventually involves President Roosevelt.[33]",1906
"December 4 – African-American men found Alpha Phi Alpha at Cornell University, the first intercollegiate fraternity for African-American men.",1906
National Primitive Baptist Convention of the U.S.A. formed.,1907
December 26 – Jack Johnson wins the World Heavyweight Title.,1908
Alpha Kappa Alpha at Howard University; African-American college women found the first college sorority for African-American women.,1908
"February 12 – Planned first meeting of group which would become the National Association for the Advancement of Colored People (NAACP), an interracial group devoted to civil rights. The meeting actually occurs on May 31, but February 12 is normally cited as the NAACP's founding date.",1909
May 31 – The National Negro Committee meets and is formed; it will be the precursor to the NAACP.,1909
"August 14 – A lynch mob moves through Springfield, Illinois burning the homes and businesses of black people and black sympathisers, killing many.",1909
"May 30 – The National Negro Committee chooses ""National Association for the Advancement of Colored People"" as its organization name.",1910
September 29 – Committee on Urban Conditions Among Negroes formed; the next year it will merge with other groups to form the National Urban League.,1910
The NAACP begins publishing The Crisis.,1910
January 5 – Kappa Alpha Psi fraternity was founded at Indiana University.,1911
November 17 – Omega Psi Phi fraternity was founded at Howard University.,1911
"The Moorish Science Temple of America, a religious organization, is founded by Noble Drew Ali (Timothy Drew).",1913
January 13 – Delta Sigma Theta sorority was founded at Howard University,1913
Newly elected president Woodrow Wilson orders physical re-segregation of federal workplaces and employment after nearly 50 years of integrated facilities.[34][35][36],1914
"February 8 – The Birth of a Nation is released to film theaters. The NAACP protests in cities across the country, convincing some not to show the film.",1915
"June 21 – In Guinn v. United States, the U.S. Supreme Court rules against grandfather clauses used to deny blacks the right to vote.",1915
September 9 – Professor Carter G. Woodson founds the Association for the Study of African American Life and History in Chicago.,1915
"A schism from the National Baptist Convention, USA, Inc. forms the National Baptist Convention of America, Inc.",1915
"January – Professor Carter Woodson and the Association for the Study of Negro Life and History begins publishing the Journal of Negro History, the first academic journal devoted to the study of African-American history.",1916
March 23 – Marcus Garvey arrives in the U.S. (see Garveyism).,1916
Los Angeles hires the country's first black female police officer.[citation needed],1916
"The Great Migration begins and lasts until 1940. Approximately one and a half million African Americans move from the Southern United States to the North and Midwest. More than five million migrate in the Second Great Migration from 1940 to 1970, which includes more destinations in California and the West.",1916
May–June – East St. Louis Riot,1917
August 23 – Houston Riot,1917
"In Buchanan v. Warley, the U.S. Supreme Court unanimously rules that a ban on selling property in white-majority neighborhoods to black people and vice versa violates the 14th Amendment.",1917
"Viola Pettus, an African-American nurse in Marathon, Texas, wins attention for her courageous care of victims of the Spanish Influenza, including members of the Ku Klux Klan.",1918
"Mary Turner was a 33-year-old lynched in Lowndes County, Georgia who was Eight months pregnant. Turner and her child were murdered after she publicly denounced the extrajudicial killing of her husband by a mob. Her death is considered a stark example of racially motivated mob violence in the American south, and was referenced by the NAACP's anti-lynching campaign of the 1920s, 1930s and 1940s.",1918
"Summer – Red Summer of 1919 riots: Chicago, Washington, D.C.; Knoxville, Indianapolis, and elsewhere.",1919
"September 28 – Omaha Race Riot of 1919, Nebraska.",1919
"October 1–5 – Elaine Race Riot, Phillips County, Arkansas. Numerous blacks are convicted by an all-white jury or plead guilty. In Moore v. Dempsey (1923), the U.S. Supreme Court overturns six convictions for denial of due process under the Fourteenth Amendment.",1919
February 13 – Negro National League (1920–1931) established.,1920
Fritz Pollard and Bobby Marshall are the first two African-American players in the National Football League (NFL). Pollard goes on to become the first African-American coach in the NFL.,1920
January 16 – Zeta Phi Beta sorority founded at Howard University,1920
May 23 – Shuffle Along is the first major African-American hit musical on Broadway.,1921
"May 31 – Tulsa Race Riot, Oklahoma",1921
Bessie Coleman becomes the first African American to earn a pilot's license.,1921
"November 12 – Sigma Gamma Rho sorority, was founded at Butler University",1922
Garrett A. Morgan invented and patented the first automatic three-position traffic light.[37],1923
"January 1–7 – Rosewood massacre: Six African Americans and two whites die in a week of violence when a white woman in Rosewood, Florida, claims she was beaten and raped by a black man.",1923
"February 19 – In Moore v. Dempsey, the U.S. Supreme Court holds that mob-dominated trials violate the Due Process Clause of the Fourteenth Amendment.",1923
Jean Toomer's novel Cane is published.,1923
Knights of Columbus commissions and publishes The Gift of Black Folk: The Negroes in the Making of America by civil rights activist and NAACP cofounder W. E. B. Du Bois as part of the organization's Racial Contribution Series.,1924
Spelman Seminary becomes Spelman College.,1924
Spring – American Negro Labor Congress is founded.,1925
"August 8 – 35,000 Ku Klux Klan members march in Washington, D.C. (see List of protest marches on Washington, D.C.)",1925
Countee Cullen publishes his first collection of poems in Color.,1925
Brotherhood of Sleeping Car Porters is organized.,1925
"The Harlem Renaissance (also known as the New Negro Movement) is named after the anthology The New Negro, edited by Alain Locke .",1925
The Harlem Globetrotters are founded.,1926
Historian Carter G. Woodson proposes Negro History Week.,1926
" Corrigan v Buckley challenges deed restrictions preventing a white seller from selling to a black buyer. The U.S. Supreme Court rules in favor of Buckley, stating that the 14th Amendment does not apply because Washington, DC is a city and not a state, thereby rendering the Due Process Clause inapplicable. Also, that the Due Process Clause does not apply to private agreements.",1926
Claude McKay's Home to Harlem wins the Harmon Gold Award for Literature.,1928
"The League of United Latin American Citizens, the first organization to fight for the civil rights of Latino Americans, is founded in Corpus Christi, Texas.",1929
"John Hope becomes president of Atlanta University. Graduate classes are offered in the liberal arts, and Atlanta University becomes the first predominantly black university to offer graduate education.",1929
"Unknown – Hallelujah! is released, one of the first films to star an all-black cast.",1929
"August 7 – Thomas Shipp and Abram Smith were African-American men lynched in Marion, Indiana, after being taken from jail and beaten by a mob. They had been arrested that night as suspects in a robbery, murder and rape case. A third African-American suspect, 16-year-old James Cameron, had also been arrested and narrowly escaped being killed by the mob. He later became a civil rights activist.[38]",1930
The League of Struggle for Negro Rights is founded in New York City.,1930
"Jessie Daniel Ames forms the Association of Southern Women for the Prevention of Lynching. She gets 40,000 white women to sign a pledge against lynching and for change in the South.[39]",1930
March 25 – Scottsboro Boys arrested in what would become a nationally controversial case.,1931
Walter Francis White becomes the executive secretary of the NAACP.,1931
The Tuskegee Study of Untreated Syphilis in the Negro Male begins at Tuskegee University.,1932
Hocutt v. Wilson unsuccessfully challenged segregation in higher education in the United States.,1933
"Wallace D. Fard, leader of the Nation of Islam, mysteriously disappears. He is succeeded by Elijah Muhammad.",1934
"June 18 – In Murray v. Pearson, Thurgood Marshall and Charles Hamilton Houston of the NAACP successfully argue the landmark case in Maryland to open admissions to the segregated University of Maryland School of Law on the basis of equal protection under the Fourteenth Amendment.",1935
August – American sprinter Jesse Owens wins four gold medals at the 1936 Summer Olympics in Berlin.,1936
Zora Neale Hurston writes the novel Their Eyes Were Watching God,1937
Southern Negro Youth Congress founded.,1937
"October – Negro National Congress meets at the Metropolitan Opera House in Philadelphia, Pa.",1938
Missouri ex rel. Gaines v. Canada,1938
