year,title,abstract
2021,The Materiality of Odors: Experiencing Church Burials and the Urban Environment in Early Modern Northern Sweden,"Archaeological material from early modern Sweden reveals that material and social meaning was intertwined in townscape odors; that is, odors and their association with unhygienic conditions affected the physical structure of the town, its material culture, and different traditions in the use of “townspace.” During the latter half of the 18th century, the town of Oulu suffered from unpleasant smells related to ponds and wet areas, and the odor of decomposing flesh from under-floor church burials greeted church visitors, despite the tradition of placing fragrant plants inside coffins. In the 18th century the town underwent deliberate changes: the ponds were drained and filled, burials under the church floor were prohibited, and one of the first graveyards located outside the town and separate from the church was constructed. These actions to change the town’s “smellscape” reflect emergent notions of regularity and cleanliness related to the Age of Enlightenment."
2021,“Unwanted Guests”: Evidence of Parasitic Infections in Archaeological Mortuary Contexts,"Parasites have had a significant impact on the course of human history—parasites have caused the deaths of countless individuals, have resulted in the abandonment of settlements, and have even affected the outcome of wars. It is curious, therefore, that archaeologists, even those engaged in dialogues about health, well-being, and sanitation in past populations, have paid relatively little attention to the impact that parasites might have had on those populations. Therefore, it is worthwhile to explore some of the impacts of parasites on relatively recent history, describe the development of the field of parasite studies in archaeology, and outline a variety of laboratory methods that can be used to identify evidence of parasites in archaeological samples. Perhaps once more archaeologists are aware of the importance of parasitological testing of archaeological remains, more informed interpretations of past population health, as it relates to parasitic disease, can be constructed."
2021,"Ethics and Practice in the Excavation, Examination, Analysis, and Preservation of Historical Mummified Human Remains","European perspectives on the study of human remains, particularly mummified individuals with associated material culture, highlight the multidisciplinary research potential of these rare discoveries. The diverse evidence associated with mummified remains offers unique potential to consider how the deceased was experienced over time. Scientific analyses reveal the complex taphonomic processes leading to the selective survival of tissue and cultural items. Medical approaches to mummies have been long established, but historical examples can combine cultural and historical sources with the palaeopathological to develop more nuanced understandings of disease and lifestyle, identifying both individual biographies and wider cultural trends in mortuary practice. Study of mummies raises ethical considerations similar to those for skeletonized remains, but given the greater recognition of their humanity, further social and religious considerations are relevant. Investigation needs to be set against the local legislation and the feelings of the mummies’ gatekeepers and, in some cases, their descendant communities."
2021,Failure and Colonialism in the North American Fur Trade: The View from Riverine Assemblages,"It is understandable that archaeologists studying the North American fur trade often do so through the excavation and analysis of terrestrial sites. This article takes an alternative approach, analyzing assemblages that resulted from canoe accidents. Recovered from eddies and rocky bottoms of the French and Winnipeg rivers in Ontario, Canada, these collections offer unique opportunities to consider new dimensions of these histories: acute examples of loss and failure. An exploratory comparison of river assemblages with terrestrial fur-trade collections reveals new information on the magnitude of such losses. We argue that these unique fur-trade assemblages demonstrate the need for less anthropocentric approaches in historical archaeology that place more emphasis on material affect and nonhuman energy flows (e.g., rivers). We explore this proposition further through close consideration of two of the most common artifact types in the river assemblages: axes and files. Closer attention to the material properties and affordances of these objects offers fresh perspectives on the ways in which materials infused and framed human social relations and capabilities, past and present."
2021,"Racialized Incorporation, Urban Irish America, and Cut-Sponge-Decorated Ceramics","The dominant ideology of the United States has stressed as a primary precept the nation’s willingness to accept and incorporate new peoples. Patriotic boosters have promoted the nation as the exemplary model of cultural pluralism and inclusion, but immigration has remained a topic of protracted debate. Controversy occurs because racial theory underpins America’s national ideology. The 19th-century Anglo-Saxon elite that governed, financed, and controlled the nation racialized many immigrant groups as inferior. Irish immigration to the United States in the decades following the Great Famine provides an example. A process of racialized incorporation is outlined, and an example is presented using archaeological remains from Albany, New York. Speculation is presented about the connection between racialized social position and cut-sponge-stamped ceramics."
2020,Black and White Beads in the African Diaspora,"African diaspora archaeology has its roots in American plantation archaeology of the 1960s and 1970s. One of the first artifacts recovered from these contexts was the simple blue glass bead, recognized by some as signifying retentions of African belief. Simultaneously emerging in the 1970s was the field of historical mortuary archaeology, in which graves of African Americans were treated as archaeological resources for the first time. When these graves were studied scientifically, greater emphasis was placed on the skeletal biology than associated grave goods, and a very different set of questions was explored. Combining these two fields, this study documents a heretofore unrecognized pattern of not blue, but black beads and white beads—almost exclusively associated with infants and women––and ties these color choices and demographic patterns to specific West African cultures and the underlying meanings of womanhood, marriage, fertility, birth, and protection."
2020,Honoring and Embodying the Mandate of Community-Accountable Archaeology: Perspectives from the Indo-Hispano/a Southwest,"The lack of diversity in the archaeological community is worsened by the sense of exclusivity created at the meeting of archaeological practice and descendant communities. The authors’ work, carried out in partnership with Indo-Hispano/a communities in New Mexico, attempts to counteract this steep gradient of inclusion through the incorporation, professionalization, and leadership of our research collaborators. Our work confronts historical paradigms denying the significance of late colonial and Mexican period community-making in the Southwest, bringing to light the problematic nature of prior historical silences for their propagation of essentialist notions of indigeneity. The dehistoricization of the Indo-Hispano/a political, social, and economic present can be combated by archaeologies that emphasize community priorities for the direction of research. Central to such commitments is an archaeological praxis which not only fully recognizes the political nature of the work, but translates that potential through a cooperative program of action and inclusion."
2020,From Alcatraz to Standing Rock: Archaeology and Contemporary Native American Protests (1969–Today),"Public and professional responses to the Dakota Access Pipeline (DAPL) protests reveal a space where archaeologists can potentially connect past and present. Archaeology has already been applied to protests over labor conditions, environment destruction, and weapons proliferation in both the United States and United Kingdom. Extending that work to Native American protests raises awareness of the legacy of the broken treaties that underlie many of these actions. For example, the 1969–1971 occupation of Alcatraz Island is where contemporary Native American protest history often begins. A simple pushpin map of protests since then shows that the DAPL protest at Standing Rock was unique only in its extensive media coverage. Building greater awareness of these actions will improve the ways archaeologists carry out their compliance responsibilities and respond to an often-misinformed public. Working with tribal colleagues to identify protest sites would enhance existing efforts to protect ancient sites and reinforce the need for tribal input in evaluating impacts to its cultural landscapes."
2020,"Gender, Clothing Fasteners, and Dress Practices in Houston’s Freedmen’s Town, ca. 1880–1904","Between 1880 and 1904, African American residents of Freedmen’s Town in Houston, Texas, were buried in the Third New City Cemetery. Using an assemblage of clothing fasteners recovered during excavations of the cemetery, I attempt to identify patterns of use and to interpret the kinds of clothing ensembles represented among men and women. The main goal of this study is to discern potential gendered patterns of clothing-fastener use that could assist in analyzing similar data from other sites. A related, secondary focus of this research is the working-class, gendered identity of black Houstonians and the roles of consumerism and clothing within the context of a segregationist Southern city."
2020,"An Intersectional Archaeology of Women’s Reproductive Rights in Early Twentieth-Century Easton, Maryland","The early 20th century laid much of the basis for today’s landscape of reproductive politics. This article evaluates the reproductive landscape of Easton, Maryland, in the early 20th century, where the appearance of a ca. 1903 advertising booklet for Chichester’s English Pennyroyal Pills and children’s toys on the site of a white middle-class home raises questions about the ways intersections of race, class, and gender constrained reproductive choices amid segregation and the rise of both the birth-control and eugenics movements. An intersectional lens facilitates the exploration of these intersections at the household, neighborhood, and national levels to compare the reproductive realities for white and African American women in this period and the particular local manifestations of these realities."
2020,“Missing Cemeteries” and Structural Racism: Historical Maps and Endangered African/African American and Hispanic Mortuary Customs in Texas,"Historical cemeteries across the United States are endangered due to development, neglect, and vandalism. Cemeteries of historically oppressed groups, specifically African, African American, and Hispanic populations, are even more susceptible to destruction or damage due to systematic, institutionalized racism; neglect; segregation; and unique mortuary patterns that often result in these cemeteries being ignored, damaged, or “lost.” A specific example is provided by historical cemeteries in Texas going “missing” from maps. Several cemeteries were known and marked on historical maps, but were later omitted from modern maps. This discrepancy is significant and leaves these “lost” cemeteries vulnerable. Minority cemeteries, particularly African and African American cemeteries, have a history of being damaged or destroyed during construction projects, only to be located on historical maps after the fact. Interdisciplinary research, including examinations of historical maps and an anthropological/archaeological understanding of mortuary customs, can help to preserve these unique and often underrepresented sites in American history."
2020,Forgotten Souls of the Dawn Settlement: A Multicomponent Geophysical Survey of Unmarked Graves at the British American Institute Cemetery,"The Dawn Settlement near Dresden in southwestern Ontario was a mid-19th-century community of escaped slaves, or “freedom seekers,” from the United States. In this study, a multicomponent geophysical survey (ground-penetrating radar, magnetic gradiometry, and electrical resistivity) was conducted on the British American Institute Cemetery, one of the two cemeteries directly associated with the settlement, to document the location of freedom-seeker graves whose markers had been damaged, knocked over, or removed during the 1960s due to the neglect and forgotten history of these burials. All the techniques provided useful information contributing to site interpretations, although GPR was found to be the most useful in identifying possible graves. We discuss the significance of incorporating archaeogeophysics techniques into heritage-management strategies and our responsibility to protect historical black cemeteries. Our survey also represents one of the first cemetery investigations related to the Underground Railroad in Canada."
2020,Landscapes and Ethnicity: An Historical Archaeology of Khami-Phase Sites in Southwestern Zimbabwe,"Although numerous dry-stone-walled Khami-phase sites are scattered throughout southwestern Zimbabwe, their finer archaeological and historical credentials remain largely elusive. Deliberations of how several dynastic and ethnolinguistic formations that are historically linked to the rise and spread of these sites can be archaeologically defined also remain multiple and fragmentary. Correspondingly, in attempts to trace Rozvi ethnicity, a sample of three ancient Khami-phase capitals––Danamombe, Naletale, and Zinjanja––was scrutinized in the light of an agency landscape framework. For the first time, radiocarbon dates from these sites are compared with each other in order to assess the validity of oral traditions and documentary sources describing the Rozvi past."
2020,The Place beyond the Fence: Slavery and Cultural Invention on a Delaware Tenant Farm,"Information about the lives and material culture of 18th- and early 19th-century enslaved black workers of West African birth or descent was recovered from Locus 1 of the Rumsey/Polk Tenant/Prehistoric site (7NCF112) in St. Georges Hundred, New Castle County, Delaware. This site contained the remains of multiple buildings interpreted as enslaved laborers’ quarters and associated cultural features, evidence of which is infrequently found in Delaware. Data from the site elucidate the current understanding of housing, diet, and cultural practices among the enslaved in the cultural borderland of the upper Mid-Atlantic region. Archaeology also reveals ways captives coped with the stresses of human trafficking, bondage, and subjugation, while simultaneously selectively modifying and reinventing cultural practices and customs."
2020,"Discovering San Antón de Carlos: The Sixteenth-Century Spanish Buildings and Fortifications of Mound Key, Capital of the Calusa","In 1566, Pedro Menéndez de Avilés arrived at the capital of the Calusa kingdom. During that same year Menéndez issued the order to construct Fort San Antón de Carlos, which was occupied until 1569. This fort was also the location of one of the first Jesuit missions (1567) in what is now the United States. We now can confirm what archaeologists and historians have long suspected: the location of the fort and the capital of the Calusa was Mound Key (8LL2), located in Estero Bay in southwestern Florida. In this article, we present the first archaeological evidence of structures and fortifications associated with the 16th-century Spanish fort and mission of San Antón de Carlos. We conducted this work, which includes both remote sensing and excavation, in an effort to better document the history of the Calusa capital up to and including the colonial period."
2020,Maintaining Traditions: Food and Identity among Early Immigrants to Upper Canada,"A critical examination of the relationships between food and identity is explored among early British and American Loyalist settlers in Upper Canada (southern Ontario) from the late 18th to the late 19th centuries. This research synthesizes zooarchaeological data from the region and interprets these alongside historical texts to address how meat was incorporated into early immigrant diets. Previous scholarship generally agreed that pork played a dominant role in Upper Canadian cuisine and that residents first settling in the area were particularly reliant on wild meat resources. Archaeological evidence suggests this was not the case. Results and discussions highlight the influence of British working-class traditions on Upper Canadian identities and the development of regional cuisines in southern Ontario. Parallels are drawn to anthropological and sociological studies of migrant foodways, encouraging archaeologists to consider the importance of maintaining food traditions when examining early immigrant assemblages."
2020,Status Creation and Maintenance among the Delaware Valley Elite: The Rise and Fall of the Field Family,"Archaeological excavations at the White Hill Mansion in Fieldsboro, Burlington County, New Jersey, revealed material evidence of identity construction and maintenance among the Delaware Valley’s rural elite during the late colonial and early Republic periods. This article focuses on the lives and experiences of the Field family at White Hill and, in particular, three of the property’s owners: Robert Field II, a successful merchant; his wife Mary Peale Field; and their son Robert Field III. The Fields were significant participants in the distinctive Quaker-influenced regional culture of the Delaware Valley, at times successfully and at times less so. Through agency theory, social constructs of gentility, documentary research, and both above- and below-ground archaeological evidence, the ways in which the Fields and their relatives employed material culture to create and maintain social, economic, and political identities from the 1750s to the 1810s are examined. The evidence reveals that individual family members used various methods and cultural behaviors to cultivate and sustain desired identities that occasionally had unintended and destructive consequences."
2020,"Race, Socioeconomic Status, and Land Ownership among Freed African American Farmers: The View from Ceramic Use at the Ransom and Sarah Williams Farmstead, Manchaca, Texas","There are few studies of post-emancipation-period African American agrarian landowners because their numbers were small in contrast to those African Americans who remained landless. Archaeologists’ emphasis on sharecroppers has overlooked the socioeconomic diversity within the African American community and minimized the importance of land ownership to the assertion of black freedom. Using the ceramics recovered from the Ransom and Sarah Williams farmstead, an historical African American site in central Texas, I show that land ownership enhanced the lives of freed African Americans by enabling them to become self-sufficient. This self-sufficiency was an important strategy that ensured their racial and economic autonomy within a precarious agricultural economy. However, their position was liminal because racism precluded them from using their landholdings in any way beyond the achievement of self-sufficiency. Therefore, land ownership was not economically emancipatory because African Americans were not able to build wealth."
2020,Historical Spatial-Data Infrastructures for Archaeology: Towards a Spatiotemporal Big-Data Approach to Studying the Postindustrial City,"While the use of geographic information systems (GIS) has become commonplace within the discipline of archaeology, the potential of a big-data approach to GIS is yet to be fully exploited within historical archaeology. Archaeologists inspired by developments in the social sciences and humanities have recently called for new ways of conceptualizing GIS as a process that is more theoretically satisfying and methodologically effective in its applications to archaeology. We respond to these calls by proposing a new approach for GIS in historical archaeology, an historical spatial-data infrastructure (HSDI). We outline the progression from historical GIS to the construction of an HSDI and present a series of case studies that demonstrate how using a spatiotemporal big-data-based approach expands the scale of archaeological inquiry to studying the postindustrial city."
2020,"Railroads, Recycling, Waste Disposal, and Remnant Refuse: Factors Affecting the Structure and Composition of Historical Archaeological Sites","The integrity of surface artifact assemblages on historical sites can be highly variable. Some sites are virtually barren, while others are awash in refuse. Why? This article explores the impact of rail access, wartime recycling, and differential access to consolidated refuse disposal on surface artifact assemblages found at historical sites in the American West. Sites that lacked rail access and did not participate in wartime recycling are most likely to be intact. In addition, assemblage effects due to differential access to consolidated refuse-disposal protocols are also examined. A suite of 10 historical sites, distributed across three states and dating between 1879 and 1960, is used to illustrate the variable effects of these three factors on surface refuse at historical sites in the West."
2020,The Discovery and Exploration of Tristán de Luna y Arellano’s 1559–1561 Settlement on Pensacola Bay,"Following the fortuitous 2015 discovery of a substantial assemblage of mid-16th-century Spanish ceramics in a residential neighborhood overlooking the Emanuel Point shipwrecks in Pensacola Bay, the University of West Florida Archaeology Institute worked with more than 120 landowners to conduct extensive archaeological testing across a broad area in order to determine the boundaries of and to explore the site. This article compares documentary and archaeological evidence to confirm the identification of the roughly 13–15 ha site as Tristán de Luna y Arellano’s 1559–1561 settlement, making it the largest mid-16th-century Spanish colonial site in the Southeast and the earliest multiyear European settlement in the entire United States."
2020,"Alignment of Old Land Surveys for Accurately Locating Archaeological Sites: The 1634 and 1646 Palisades in Middle Plantation, Colonial Virginia","The location of magnetic north has changed significantly during times relevant to historical archaeologists. To accurately locate sites of archaeological interest mentioned in old land surveys, which used magnetic compass bearings, alignment of those old surveys with true (geographic) north is required. This paper describes the method for doing this and provides an archaeological example of this approach for refining the locations of 17th-century wooden palisades in Williamsburg, Virginia."
2020,An Alter(ed)native Perspective on Historical Bioarchaeology,"This article analyzes intellectual and political work based in Howard University’s Cobb Research Laboratory relative to “new” and “emerging” ideas in bioarchaeology. Research conducted on remains from the Cobb Skeletal Collection and New York African Burial Ground is highlighted for this purpose. The analysis includes the period during which both collections were housed in the laboratory at the same time (1992–2003). I argue that the extent to which this work is considered relevant to scholarly developments in bioarchaeology is informed by the ways scholarship produced by people of color is regarded in general. It is often deemed “too specific” in focus to be generally relevant to disciplinary discussions. However, examination of the ways the discipline and researchers are socially embedded reveals this to be a product of racialized thinking that deems White scholarship universally applicable to intellectual inquiry—whereas the scholarship of non-Whites is not. Black-feminist theory and critiques of science are used to demonstrate that analyses of inequality centering on race are necessary for identifying and deconstructing the structural inequalities inherent in the discipline. Gina Athena Ulysse’s concept of an alter(ed)native perspective is used to illustrate how this literature provides language to name the complex subjectivities of researchers who both study and experience structural inequality."
2020,Caring Differently: Some Reflections,"Engaging love, care, and abandonment, but with an emphasis on care, I begin to question politics of care with human skeletal remains. This questioning strongly came to the fore while reflecting on preliminary observations of and interactions with skeletal remains that show evidence of postmortem interventions. These queries include, but are not limited to, the following: How does one not perpetuate colonialism when photographing and presenting bodies, eerily recalling colonial racial-documentation techniques? Are research objectives justifiable when these individuals cannot speak back? These kinds of caring and care-full concerns are important and disquieting. I ultimately ask to care differently about bioarchaeological practices, what they cite, and what they perpetuate. At stake is the importance of emergent politics of practice and tinkering with pointed questions."
2020,"Building Nation, Becoming Object: The Bio-Politics of the Samuel G. Morton Crania Collection","Here I use a biohistorical approach to examine the connection between 19th-century nation building in the United States and physicians’ collection of crania, notably “specimens” amassed by Dr. Samuel Morton. Globally disparate places are represented in the Morton Collection, though roughly 25% are Native Americans. Morton acquired these decedents as a result of colonial expansion and military conflicts that revised the national borders of the U.S. Events precipitating removal of natives from the Southeast, paying special attention to Florida, are demonstrative. During this process, “White” Americans’ retellings of interactions with “Indians” solidified into official history, while Morton’s craniometric studies reified racialized categories. This two-pronged “bio-political strategy” produced hegemonic notions of American citizenship that privileged Whiteness. In returning to the Morton Collection, however, I also identify traces—archival and skeletal—of past events and peoples that counterpoise official histories and, in so doing, point to the fragility of this nationalist project and racialization processes."
2020,Assembling Heads and Circulating Tales: The Doings and Undoings of Specimen 2032,"In April 1859, U.S. Army assistant surgeon Charles W. Brewer was dispatched to a remote mountain valley in the Utah Territory with orders to oversee the burial of 120 massacre victims. The scattered bones of overland immigrants who had been murdered by Mormon militiamen were gathered and interred in a series of mass graves. Though Brewer reported that his work was complete, he carried away from the site two skulls and “long tresses of dark and blonde hair of some of the tender victims” (Robinson 1884). One of the crania was recently identified in the collections of the National Museum of Health and Medicine, historically known as the Army Medical Museum in Washington, D.C. The analysis of “Specimen 2032” is presented here, along with the history of movements and encounters that brought it to this place. Rather than focus solely on the object’s authenticity or its linkages to the massacre site, we examine it within multiple assemblages—lively gatherings of materials, agents, and practices. In moving through these assemblages, the so-called specimen, we argue, is ontologically modified and transformed."
2020,Working in the City: An Historical Bioarchaeology of Activity in Urban New Spain,"The shifting sociopolitical environment of colonial Mexico City (1521–1821) resulted in a reorganization of labor obligations and opportunities for the city’s inhabitants. Bioarchaeological analysis of skeletal indicators of activity, in combination with historical documentary evidence, provide an avenue for understanding this change in daily-life activities. In particular, the intersection of different aspects of identity results in groups of individuals that shared similar kinds of biomechanical stress that may not have been identified using a traditional methodology of dividing data according to age and sex groups. Additionally, the kind of work a person performed may have had an impact on the social perception of identity in colonial life, which was based more on how a person lived than on physical appearance."
2020,"Restoring Identity to People and Place: Reanalysis of Human Skeletal Remains from a Cemetery at Catoctin Furnace, Maryland","Nearly four decades ago, a highway expansion project resulted in the excavation of 35 unmarked graves at Catoctin Furnace, an industrial ironworking village in western Maryland. Initial analysis identified the remains as Africans or African Americans associated with the late 18th- and early 19th-century operation of the ironworks. Renewed efforts to learn more about these poorly documented individuals and connect the site’s untold past to present generations through heritage tourism, prompted reanalysis of the skeletons. Updated assessments of demography and pathology, along with new analyses including heavy metals and carbon and nitrogen stable isotopes, elucidate the life histories of these early laborers and their involvement in furnace operations. Some data derived from recent testing differentiate the Catoctin Furnace individuals from their plantation-based contemporaries in the mid-Atlantic, suggesting regional differences in diet and possible occupational exposure to toxins."
2020,The Body Politic and the Citizen’s Mouth: Oral Health and Dental Care in Nineteenth-Century Manhattan,"As American democracy burgeoned in the 19th century, citizenship was expressed in the young nation in part through bodily-care regimes as well as consumption practices. The mouth, in particular, might therefore be considered a locus at which class, medical practices, and ideologies of citizenship and identity articulate. Historical bioarchaeology is uniquely situated to approach the broader social context of dental health in the past. Using multiple lines of evidence, including archaeological and archival sources, bioarchaeologists can investigate the ways discourses on health and the body, as well as urbanizing and industrializing forces, influenced both dental disease and dental care. This study investigates oral health in the skeletal remains from the Spring Street Presbyterian Church burial vaults (ca. 1820–1850) in New York City. Rates of carious lesions, abscesses, and antemortem tooth loss are contextualized through artifacts and historical documents. Archaeological evidence in the burial vaults for dental care includes prosthetic devices and fillings, while archival sources document preventative dental care, dietary choices, and engagement with discourses on the body and citizenship."
2020,“Against Shameless and Systematic Calumny”: Strategies of Domination and Resistance and Their Impact on the Bodies of the Poor in Nineteenth-Century Ireland,"Mid-Victorian British characterizations of Ireland and much of its population blamed race and “moral character” for the widespread poverty on the island. The Irish poor were portrayed as a “race apart” whose inherent failings were at least partly to blame for the mortality they suffered during the Great Famine of 1845–1852. Recent excavations at Kilkenny workhouse and Spike Island convict prison have produced skeletal assemblages from this critical period. These collections have enabled bioarchaeological analysis of parameters mentioned by the Victorians as indicative of the distinctiveness of the Irish poor: stature, interpersonal violence, and tobacco use. Bioarchaeological data indicate that the differences between Irish and British populations in stature and risk of violence were exaggerated. Such characterizations, we argue, were part of a strategy of “Othering” that served to legitimize colonial domination. This exertion of power did not go uncontested, as the pattern of tobacco use may be indicative of forms of passive resistance."
